0.000000 0.118715 0.763835 0.300847
0.067114 0.000728 0.852891 0.336974
0.134228 0.453362 0.865876 0.254444
0.201342 0.152527 0.830728 -0.283094
0.268456 0.414623 0.828126 0.210103
0.335570 0.101712 0.751325 0.088993
0.402685 0.155094 0.800121 0.366441
0.469799 0.488871 0.855520 0.011397
0.536913 0.428608 0.879478 -0.235501
0.604027 0.399895 0.868578 0.342271
0.671141 0.149556 0.824975 0.730376
0.738255 0.070018 0.881059 -0.208563
0.805369 0.382756 0.786701 -0.060709
0.872483 0.264423 0.883849 0.726579
0.939597 0.478987 0.855019 0.254329
1.006711 0.395962 0.888383 0.669495
1.073826 0.291602 0.756588 0.511944
1.140940 0.260010 0.840237 0.347403
1.208054 0.123830 0.781611 0.185093
1.275168 0.153094 0.928746 0.670467
1.342282 0.396267 0.872726 0.364047
1.409396 0.280630 0.812424 0.405763
1.476510 0.094745 0.802514 -0.242783
1.543624 0.442588 0.717021 0.617133
1.610738 0.352634 0.815560 0.143138
1.677852 0.135980 0.959363 -0.030616
1.744966 0.347514 0.783285 0.506218
1.812081 0.025871 0.915993 0.063212
1.879195 0.224377 0.793185 -0.039043
1.946309 0.076728 0.862069 -0.304106
2.013423 0.344899 0.853958 -0.256474
2.080537 0.445633 0.898964 0.203328
2.147651 0.105986 0.861999 -0.251327
2.214765 0.382207 0.852744 0.750459
2.281879 0.280660 0.817870 -0.133691
2.348993 0.199333 0.888845 0.461099
2.416107 0.233045 0.840517 -0.321323
2.483221 0.389529 0.899734 0.017774
2.550336 0.118550 0.835128 0.106235
2.617450 0.024266 0.814758 0.034890
2.684564 0.080013 0.807376 0.060025
2.751678 0.282637 0.832354 -0.204590
2.818792 0.222641 0.809906 -0.335273
2.885906 0.386813 0.847864 0.381501
2.953020 0.191557 0.871919 0.129391
3.020134 0.310168 0.832168 0.511880
3.087248 0.358985 0.842443 0.310115
3.154362 0.147320 0.919330 0.119350
3.221477 0.359493 0.879779 0.239315
3.288591 0.226328 0.865646 -0.189827
3.355705 0.047311 0.862257 0.425802
3.422819 0.033910 0.833280 0.694582
3.489933 0.235322 0.886332 -0.011503
3.557047 0.222896 0.737707 0.362160
3.624161 0.490818 0.891889 0.052973
3.691275 0.029743 0.898311 0.696940
3.758389 0.482005 0.789989 0.037527
3.825503 0.377078 0.759873 0.001266
3.892617 0.084681 0.777988 0.409647
3.959732 0.151456 0.867823 0.221254
4.026846 0.261131 0.861164 0.269463
4.093960 0.453800 0.865268 -0.396567
4.161074 0.080556 0.767077 0.289994
4.228188 0.233472 0.773260 -0.474768
4.295302 0.052072 0.896382 -0.128755
4.362416 0.071602 0.815156 0.019132
4.429530 0.129359 0.722323 -0.527951
